"reviewId","userName","userImage","content","score","thumbsUpCount","reviewCreatedVersion","at","replyContent","repliedAt","appVersion"
"0a3ccf10-9c33-4115-a4ce-2b14da0a6c56","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","👍w","1","0","1.0.0","2024-10-04 12:07:55","","","1.0.0"
"89876024-45c2-427b-a1fe-e407b480f4e2","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Nice","5","0","4.1.990","2024-10-04 11:59:01","","","4.1.990"
"9e1d7b40-2baf-4d18-9503-fb9537ebc42e","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Good and useful","5","0","","2024-10-04 11:53:05","","",""
"dc474f71-091d-44ec-becf-050b5a7a6b68","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","An amazing Professional App for networking.","5","0","4.1.990","2024-10-04 11:50:46","","","4.1.990"
"10192fa9-b0cc-49cd-81af-4de1aad18cd6","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Very useful","5","0","4.1.700","2024-10-04 11:49:00","","","4.1.700"
"6bb681c0-c8db-4a30-870a-7e7348ea48fb","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","EXCELLENT THANKS","5","0","4.1.989","2024-10-04 11:39:04","Thank you for your feedback! We're thrilled to hear that you find LinkedIn user-friendly and effective for connecting with professionals in a formal manner. We're constantly striving to improve the user experience, and your input is invaluable to us. Thanks! - PK","2024-08-11 12:05:56","4.1.989"
"73c94f61-befb-446a-9c63-6d8aee4b8465","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","The best Job find App!!","5","0","4.1.987","2024-10-04 11:30:54","","","4.1.987"
"bc29e2b2-796e-4915-96b6-89240663af1d","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Ok","5","0","4.1.990","2024-10-04 11:18:01","","","4.1.990"
"8cda0ef8-bd27-495a-9a5c-7b436352ab02","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","hell","5","0","4.1.976","2024-10-04 11:17:42","","","4.1.976"
"59984d3f-aaa9-42bc-b4e9-f764e53bd195","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Good","5","0","4.1.987","2024-10-04 11:09:11","","","4.1.987"
"3ee90400-4277-46a0-9356-9dfb67a4213e","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","EXCELLENT!","5","2","4.1.989","2024-10-04 11:02:21","","","4.1.989"
"6575f98d-bd5d-42ef-9b3d-e49ca9f5caa7","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","I am extremely disappointed with LinkedIn’s security measures. Recently, someone logged into my account, changed my name, and altered all my information, including my bio. My entire profile was destroyed. It feels like LinkedIn’s operational security team is as effective as street vendors selling snacks, showing no professionalism whatsoever. This experience has been incredibly frustrating and has left me questioning the platform’s ability to protect user data","1","0","4.1.990","2024-10-04 10:52:33","","","4.1.990"
"860ef45a-c5ac-4f82-a5e1-28ba639b827f","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Great 👍🏻","5","0","4.1.990","2024-10-04 10:47:13","","","4.1.990"
"e35a7816-1bd4-4ebe-b0cb-c46631487926","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Best","5","0","","2024-10-04 10:37:44","","",""
"91471c1d-fce8-4051-94f1-37aba3f74d0e","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g",",zzz","5","0","","2024-10-04 10:35:54","","",""
"598eb288-b107-4ea7-be0c-954b74d4ac92","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Nice app","5","0","4.1.984.1","2024-10-04 10:25:42","","","4.1.984.1"
"e83ed309-a630-45d2-b16c-51f92f267cae","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Wise","5","0","4.1.990","2024-10-04 10:19:21","","","4.1.990"
"1a1e93a2-6cc1-4820-9d73-4f038f3c4b55","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Good job platform...","5","0","4.1.989","2024-10-04 10:19:05","","","4.1.989"
"58900927-a29c-4212-8e37-5560ce398a4e","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","I like this application","5","0","","2024-10-04 10:11:30","","",""
"1c22dfba-2399-4704-af4b-6ebdf6ff0bdd","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","can't remove this sodding thing from my phone will not let me delete it or remove it","1","0","1.0.0","2024-10-04 09:56:26","","","1.0.0"
"7f95d716-7f26-47d1-aa81-8ef8fbd063c7","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","The captcha verification is annoying I answer it right, but the captcha still appear again and again","1","0","4.1.990","2024-10-04 09:54:04","","","4.1.990"
"9f243d01-f29c-4132-8b6d-755c56dbf3f0","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Excellent","5","0","4.1.989","2024-10-04 09:46:11","","","4.1.989"
"46416a63-2e9b-43b9-a91f-c1d4cd5a3ac0","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Very productive way to get my affairs in order","4","0","4.1.990","2024-10-04 09:42:02","","","4.1.990"
"872d7c16-27d8-4001-a569-bf879720bff8","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Nice experience altogether","4","0","","2024-10-04 09:34:40","","",""
"40370580-aa69-40c4-968c-a66595359676","A Google user","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Good","5","0","4.1.990","2024-10-04 09:25:56","","","4.1.990"
